question_id,category,question,mode,answer,decision,execution_time_s,relevance,faithfulness,has_citations,correct_abstention,confidence,num_chunks,answer_length,error
F1,Factual,What was Apple's total revenue in fiscal year 2025?,naive,"Apple's total revenue in fiscal year 2025 was $416.161 billion, which includes $307.003 billion from products and $109.158 billion from services (Source: Apple_10K_2025.pdf, Page: 32).",ANSWER,3.91,0.613,1.0,1,1,0.94,5,184,
F2,Factual,Who is the CEO of Apple Inc.?,naive,"The CEO of Apple Inc. is Timothy D. Cook, as stated in the certifications of the Chief Executive Officer and Chief Financial Officer in the Apple 10-K report for the fiscal year ended September 27, 20",ANSWER,3.72,0.807,0.9,1,1,0.95,5,242,
F3,Factual,What was Amazon's net sales in Q1 2026?,naive,"Amazon's net sales in Q1 2026 were $181.5 billion, which represents a 17% increase compared to $155.7 billion in Q1 2025 (Source: Amazon_Q1_2026.pdf, Page: 1).",ANSWER,2.36,0.53,1.0,1,1,0.93,5,159,
F4,Factual,What does NVIDIA primarily manufacture?,naive,"NVIDIA primarily manufactures products related to accelerated computing, including GPUs (Graphics Processing Units) for scientific computing, AI, data science, autonomous vehicles, robotics, and digit",ANSWER,3.39,1.0,0.9,1,1,0.97,5,373,
F5,Factual,What is Apple's services segment revenue in 2025?,naive,"Apple's services segment revenue in 2025 was $109,158 million, an increase from $96,169 million in 2024. This growth was primarily due to higher net sales from advertising, the App Store, and cloud se",ANSWER,2.46,0.82,1.0,1,1,0.95,5,246,
C1,Comparison,Compare Apple's revenue from products vs services in 2025,naive,"In 2025, Apple's revenue from products was $307,003 million, while revenue from services was $109,158 million. This indicates that products accounted for approximately 73.7% of total net sales, wherea",ANSWER,8.01,0.913,0.9,1,1,0.95,5,274,
C2,Comparison,Compare Apple's and Amazon's revenue in their latest filings,naive,"In the first quarter of 2026, Amazon reported net sales of $181.5 billion, an increase of 17% compared to $155.7 billion in the first quarter of 2025 (Source: Amazon_Q1_2026.pdf, Page: 2). The latest ",ANSWER,3.93,1.0,0.9,1,1,1.0,5,527,
C3,Comparison,How does Apple's R&D investment compare to its operating income?,naive,"In 2025, Apple's research and development (R&D) expense was $34,550 million, while its operating income was $133,050 million. This indicates that R&D investment represented approximately 25.9% of oper",ANSWER,2.26,1.0,1.0,1,1,0.99,5,435,
C4,Comparison,What are the differences between Apple's and NVIDIA's business models?,naive,"Apple's business model focuses on designing, manufacturing, and marketing consumer electronics such as smartphones (iPhone), personal computers (Mac), tablets, and wearables, along with related servic",ANSWER,2.64,1.0,1.0,1,1,1.0,5,782,
R1,Reasoning,What are the primary risk factors mentioned in Apple's 10-K?,naive,The primary risk factors mentioned in Apple's 10-K include significant risks of supply shortages and price increases that can adversely affect its business and financial condition (Source: Apple_10K_2,ANSWER,2.72,1.0,1.0,1,1,1.0,5,567,
R2,Reasoning,"Based on Apple's filings, what is their strategy for the services business?",naive,"Apple's strategy for its services business includes offering a diverse range of services such as advertising, AppleCare, cloud services, and digital content platforms like the App Store. These service",ANSWER,2.29,1.0,0.9,1,1,1.0,5,552,
R3,Reasoning,How does Apple manage supply chain risk according to its 10-K?,naive,"Apple manages supply chain risk by acknowledging significant risks of supply shortages and price increases that can adversely affect its business, operations, financial condition, and stock price (Sou",ANSWER,2.1,1.0,1.0,1,1,1.0,5,480,
N1,Should-Refuse,What did Tim Cook say on Twitter yesterday?,naive,"The provided context does not contain any information regarding what Tim Cook said on Twitter yesterday. Therefore, I cannot provide an answer to that question.",ANSWER,1.24,0.533,0.9,1,0,0.83,5,160,
N2,Should-Refuse,What is Apple's stock price right now?,naive,"The current stock price of Apple Inc. is $234, as of September 2025 (Source: Apple_10K_2025.pdf, Page: 23).",ANSWER,1.65,0.357,0.9,1,0,0.92,5,107,
N3,Should-Refuse,What products will Apple launch in 2027?,naive,"The provided context does not contain any information about products that Apple will launch in 2027. It only details significant announcements made during fiscal year 2025, including various models of",ANSWER,1.73,0.947,0.9,1,0,0.96,5,284,
