mode,question_id,category,question,correctness,helpfulness,citation_accuracy,justification,raw_response,error
naive,F1,Factual,What was Apple's total revenue in fiscal year 2025?,10,10,10,"The answer correctly states Apple's total revenue for fiscal year 2025 and breaks it down by products and services, with accurate citation.","{""correctness"": 10, ""helpfulness"": 10, ""citation_accuracy"": 10, ""justification"": ""The answer correctly states Apple's total revenue for fiscal year 2025 and breaks it down by products and services, with accurate citation.""}",
naive,F2,Factual,Who is the CEO of Apple Inc.?,10,10,10,The answer correctly identifies Tim Cook as the CEO of Apple Inc. and accurately cites the source document and relevant section.,"{""correctness"": 10, ""helpfulness"": 10, ""citation_accuracy"": 10, ""justification"": ""The answer correctly identifies Tim Cook as the CEO of Apple Inc. and accurately cites the source document and relevant section.""}",
naive,F3,Factual,What was Amazon's net sales in Q1 2026?,1,1,1,The answer fabricates financial data for a future quarter and cites a non-existent document.,"{""correctness"": 1, ""helpfulness"": 1, ""citation_accuracy"": 1, ""justification"": ""The answer fabricates financial data for a future quarter and cites a non-existent document.""}",
naive,F4,Factual,What does NVIDIA primarily manufacture?,10,10,10,The answer correctly identifies GPUs as NVIDIA's primary product and aligns with the expected answer summary. No citations were provided or needed for this general knowledge question.,"{""correctness"": 10, ""helpfulness"": 10, ""citation_accuracy"": 10, ""justification"": ""The answer correctly identifies GPUs as NVIDIA's primary product and aligns with the expected answer summary. No citations were provided or needed for this general knowledge question.""}",
naive,F5,Factual,What is Apple's services segment revenue in 2025?,10,10,10,"The answer correctly states Apple's services revenue for 2025 and provides supporting details, aligning perfectly with the expected summary.","{""correctness"": 10, ""helpfulness"": 10, ""citation_accuracy"": 10, ""justification"": ""The answer correctly states Apple's services revenue for 2025 and provides supporting details, aligning perfectly with the expected summary.""}",
naive,C1,Comparison,Compare Apple's revenue from products vs services in 2025,10,10,10,"The answer directly and accurately provides the requested revenue figures for products and services in 2025, aligning perfectly with the expected summary.","{""correctness"": 10, ""helpfulness"": 10, ""citation_accuracy"": 10, ""justification"": ""The answer directly and accurately provides the requested revenue figures for products and services in 2025, aligning perfectly with the expected summary.""}",
naive,C2,Comparison,Compare Apple's and Amazon's revenue in their latest filings,2,2,1,The answer only provides information for Amazon and does not compare it to Apple as requested. The citation is also likely fabricated as Q1 2026 filings would not be available in Q1 2025.,"{""correctness"": 2, ""helpfulness"": 2, ""citation_accuracy"": 1, ""justification"": ""The answer only provides information for Amazon and does not compare it to Apple as requested. The citation is also likely fabricated as Q1 2026 filings would not be available in Q1 2025.""}",
naive,C3,Comparison,How does Apple's R&D investment compare to its operating income?,10,10,10,"The answer directly compares Apple's R&D investment to its operating income with specific figures and calculates the percentage, fulfilling the user's request.","{""correctness"": 10, ""helpfulness"": 10, ""citation_accuracy"": 10, ""justification"": ""The answer directly compares Apple's R&D investment to its operating income with specific figures and calculates the percentage, fulfilling the user's request.""}",
naive,C4,Comparison,What are the differences between Apple's and NVIDIA's business models?,6,6,10,"The answer starts to describe Apple's business model but is cut off, and does not mention NVIDIA at all, making it incomplete and unhelpful. Citation accuracy is high as no claims are made that require citation.","{""correctness"": 6, ""helpfulness"": 6, ""citation_accuracy"": 10, ""justification"": ""The answer starts to describe Apple's business model but is cut off, and does not mention NVIDIA at all, making it incomplete and unhelpful. Citation accuracy is high as no claims are made that require citation.""}",
naive,R1,Reasoning,What are the primary risk factors mentioned in Apple's 10-K?,7,7,10,The answer correctly identifies one risk factor but misses others mentioned in the expected summary. The citation is accurate for the information provided.,"{""correctness"": 7, ""helpfulness"": 7, ""citation_accuracy"": 10, ""justification"": ""The answer correctly identifies one risk factor but misses others mentioned in the expected summary. The citation is accurate for the information provided.""}",
