question_id,mode,fts_composite,fts_band,correctness,trust_quality,trust_faithfulness,trust_citation,trust_validator,trust_conflict,trust_temporal,latency_ms
F1,naive,83,ANALYST_REVIEW,10.0,0.965,0.6,1.0,0.6,0.85,1.0,49001
F2,naive,75,ANALYST_REVIEW,10.0,0.541,0.6,1.0,0.6,0.85,1.0,3345
F3,naive,84,ANALYST_REVIEW,1.0,0.998,0.6,1.0,0.6,0.85,1.0,2989
F4,naive,69,NEEDS_REVIEW,10.0,0.24,0.6,1.0,0.6,0.85,1.0,3463
F5,naive,81,ANALYST_REVIEW,10.0,0.884,0.6,1.0,0.6,0.85,1.0,5310
C1,naive,84,ANALYST_REVIEW,10.0,0.99,0.6,1.0,0.6,0.85,1.0,3930
C2,naive,64,NEEDS_REVIEW,2.0,0.022,0.6,1.0,0.6,0.85,1.0,4460
C3,naive,69,NEEDS_REVIEW,10.0,0.275,0.6,1.0,0.6,0.85,1.0,4993
C4,naive,59,NEEDS_REVIEW,6.0,0.002,0.6,1.0,0.6,0.85,0.5,3325
R1,naive,81,ANALYST_REVIEW,7.0,0.852,0.6,1.0,0.6,0.85,1.0,3322
R2,naive,65,NEEDS_REVIEW,6.0,0.053,0.6,1.0,0.6,0.85,1.0,5964
R3,naive,74,ANALYST_REVIEW,2.0,0.526,0.6,1.0,0.6,0.85,1.0,9018
N1,naive,59,NEEDS_REVIEW,10.0,0.001,0.6,1.0,0.6,0.85,0.5,1734
N2,naive,78,ANALYST_REVIEW,1.0,0.733,0.6,1.0,0.6,0.85,1.0,1523
N3,naive,77,ANALYST_REVIEW,10.0,0.669,0.6,1.0,0.6,0.85,1.0,4355
F1,agentic,83,ANALYST_REVIEW,10.0,0.965,0.6,1.0,0.6,0.85,1.0,7652
F2,agentic,75,ANALYST_REVIEW,10.0,0.541,0.6,1.0,0.6,0.85,1.0,5033
F3,agentic,84,ANALYST_REVIEW,10.0,0.998,0.6,1.0,0.6,0.85,1.0,6547
F4,agentic,67,NEEDS_REVIEW,1.0,0.15,0.6,1.0,0.6,0.85,1.0,7732
F5,agentic,81,ANALYST_REVIEW,10.0,0.884,0.6,1.0,0.6,0.85,1.0,7632
C1,agentic,84,ANALYST_REVIEW,10.0,0.99,0.6,1.0,0.6,0.85,1.0,7832
C2,agentic,64,NEEDS_REVIEW,1.0,0.016,0.6,1.0,0.6,0.85,1.0,7509
C3,agentic,67,NEEDS_REVIEW,10.0,0.143,0.6,1.0,0.6,0.85,1.0,15132
C4,agentic,59,NEEDS_REVIEW,1.0,0.002,0.6,1.0,0.6,0.85,0.5,9312
R1,agentic,77,ANALYST_REVIEW,8.0,0.666,0.6,1.0,0.6,0.85,1.0,8174
R2,agentic,65,NEEDS_REVIEW,10.0,0.056,0.6,1.0,0.6,0.85,1.0,8278
R3,agentic,70,NEEDS_REVIEW,10.0,0.32,0.6,1.0,0.6,0.85,1.0,8803
N1,agentic,59,NEEDS_REVIEW,10.0,0.001,0.6,1.0,0.6,0.85,0.5,4915
N2,agentic,78,ANALYST_REVIEW,10.0,0.733,0.6,1.0,0.6,0.85,1.0,7422
N3,agentic,77,ANALYST_REVIEW,10.0,0.669,0.6,1.0,0.6,0.85,1.0,8628
F1,multi_agent,83,ANALYST_REVIEW,10.0,0.965,0.6,1.0,0.6,0.85,1.0,6154
F2,multi_agent,75,ANALYST_REVIEW,10.0,0.541,0.6,1.0,0.6,0.85,1.0,5707
F3,multi_agent,84,ANALYST_REVIEW,10.0,0.998,0.6,1.0,0.6,0.85,1.0,9060
F4,multi_agent,67,NEEDS_REVIEW,1.0,0.15,0.6,1.0,0.6,0.85,1.0,9897
F5,multi_agent,81,ANALYST_REVIEW,10.0,0.884,0.6,1.0,0.6,0.85,1.0,8221
C1,multi_agent,87,HIGH_TRUST,10.0,0.966,0.714,1.0,0.7,0.85,1.0,52112
C2,multi_agent,69,NEEDS_REVIEW,4.0,0.151,0.5,1.0,0.7,1.0,1.0,52104
C3,multi_agent,62,NEEDS_REVIEW,10.0,0.294,0.2,1.0,0.65,0.85,1.0,34028
C4,multi_agent,65,NEEDS_REVIEW,7.0,0.203,0.25,1.0,0.7,1.0,1.0,50900
R1,multi_agent,77,ANALYST_REVIEW,10.0,0.666,0.6,1.0,0.6,0.85,1.0,9523
R2,multi_agent,68,NEEDS_REVIEW,7.0,0.131,0.6,1.0,0.7,0.85,1.0,40672
R3,multi_agent,70,NEEDS_REVIEW,10.0,0.32,0.6,1.0,0.6,0.85,1.0,8746
N1,multi_agent,59,NEEDS_REVIEW,10.0,0.001,0.6,1.0,0.6,0.85,0.5,4306
N2,multi_agent,78,ANALYST_REVIEW,10.0,0.733,0.6,1.0,0.6,0.85,1.0,6411
N3,multi_agent,77,ANALYST_REVIEW,3.0,0.669,0.6,1.0,0.6,0.85,1.0,5578
