variant,question_id,category,decision,faithfulness,trust_score,latency_s,answered,correct_abstention,n_chunks,answer_len
full,F1,Factual,ANSWER,0.5,83,54.56,1,1,5,184
full,F2,Factual,ANSWER,0.5,75,7.92,1,1,5,251
full,F3,Factual,ANSWER,0.5,84,5.78,1,1,5,159
full,F4,Factual,REFUSE,0.5,67,7.82,0,0,10,775
full,F5,Factual,ANSWER,0.5,81,5.62,1,1,5,249
full,C1,Comparison,ANSWER,0.5,85,32.69,1,1,15,825
full,C2,Comparison,ANSWER,0.5,69,33.4,1,1,25,1075
full,C3,Comparison,ANSWER,0.5,63,27.67,1,1,25,1013
full,C4,Comparison,ANSWER,0.5,67,44.51,1,1,25,1149
full,R1,Reasoning,REFUSE,0.5,77,7.78,0,0,10,874
full,R2,Reasoning,ANSWER,0.5,72,30.15,1,1,25,1152
full,R3,Reasoning,REFUSE,0.5,70,7.33,0,0,10,1109
full,N1,Should-Refuse,REFUSE,1.0,59,4.8,0,1,5,532
full,N2,Should-Refuse,REFUSE,1.0,78,4.72,0,1,5,499
full,N3,Should-Refuse,REFUSE,1.0,77,6.25,0,1,5,896
no_reranker,F1,Factual,ANSWER,0.5,77,3.77,1,1,5,124
no_reranker,F2,Factual,ANSWER,0.5,77,3.74,1,1,5,184
no_reranker,F3,Factual,ANSWER,0.5,77,4.74,1,1,5,159
no_reranker,F4,Factual,REFUSE,0.5,76,4.86,0,0,5,942
no_reranker,F5,Factual,ANSWER,0.5,77,3.96,1,1,5,180
no_reranker,C1,Comparison,ANSWER,0.5,77,29.68,1,1,15,813
no_reranker,C2,Comparison,ANSWER,0.5,86,34.74,1,1,25,828
no_reranker,C3,Comparison,ANSWER,0.5,73,34.66,1,1,25,997
no_reranker,C4,Comparison,ANSWER,0.5,78,36.27,1,1,25,1286
no_reranker,R1,Reasoning,REFUSE,0.5,77,7.59,0,0,10,1062
no_reranker,R2,Reasoning,ANSWER,0.5,83,34.44,1,1,25,801
no_reranker,R3,Reasoning,REFUSE,0.5,77,6.92,0,0,10,1008
no_reranker,N1,Should-Refuse,REFUSE,1.0,70,4.37,0,1,5,704
no_reranker,N2,Should-Refuse,REFUSE,1.0,77,4.86,0,1,5,722
no_reranker,N3,Should-Refuse,REFUSE,1.0,77,4.86,0,1,5,699
no_temporal,F1,Factual,ANSWER,0.5,83,22.85,1,1,5,185
no_temporal,F2,Factual,ANSWER,0.5,75,3.87,1,1,5,265
no_temporal,F3,Factual,ANSWER,0.5,84,4.23,1,1,5,159
no_temporal,F4,Factual,REFUSE,0.5,67,7.65,0,0,10,843
no_temporal,F5,Factual,ANSWER,0.5,81,5.04,1,1,5,253
no_temporal,C1,Comparison,ANSWER,0.5,92,26.95,1,1,15,714
no_temporal,C2,Comparison,ANSWER,0.5,71,31.86,1,1,25,807
no_temporal,C3,Comparison,ANSWER,0.5,65,31.99,1,1,25,965
no_temporal,C4,Comparison,ANSWER,0.5,70,39.15,1,1,25,1215
no_temporal,R1,Reasoning,REFUSE,0.5,77,6.16,0,0,10,858
no_temporal,R2,Reasoning,ANSWER,0.5,64,27.83,1,1,25,1239
no_temporal,R3,Reasoning,REFUSE,0.5,70,6.77,0,0,10,946
no_temporal,N1,Should-Refuse,REFUSE,1.0,59,4.16,0,1,5,626
no_temporal,N2,Should-Refuse,REFUSE,1.0,78,5.03,0,1,5,563
no_temporal,N3,Should-Refuse,REFUSE,1.0,77,5.48,0,1,5,894
no_verifier,F1,Factual,ANSWER,0.5,83,11.63,1,1,5,211
no_verifier,F2,Factual,ANSWER,0.5,75,3.72,1,1,5,223
no_verifier,F3,Factual,ANSWER,0.5,84,3.92,1,1,5,155
no_verifier,F4,Factual,REFUSE,0.5,67,8.65,0,0,10,895
no_verifier,F5,Factual,ANSWER,0.5,81,4.33,1,1,5,233
no_verifier,C1,Comparison,ANSWER,0.5,89,11.15,1,1,15,462
no_verifier,C2,Comparison,ANSWER,0.5,75,18.59,1,1,25,684
no_verifier,C3,Comparison,ANSWER,0.5,74,16.16,1,1,25,739
no_verifier,C4,Comparison,ANSWER,0.5,75,20.98,1,1,25,908
no_verifier,R1,Reasoning,REFUSE,0.5,77,8.04,0,0,10,744
no_verifier,R2,Reasoning,ANSWER,0.5,70,12.77,1,1,25,835
no_verifier,R3,Reasoning,REFUSE,0.5,70,7.28,0,0,10,1049
no_verifier,N1,Should-Refuse,REFUSE,1.0,59,3.79,0,1,5,637
no_verifier,N2,Should-Refuse,REFUSE,1.0,78,5.18,0,1,5,576
no_verifier,N3,Should-Refuse,REFUSE,1.0,77,6.03,0,1,5,733
no_conflict,F1,Factual,ANSWER,0.5,83,11.27,1,1,5,184
no_conflict,F2,Factual,ANSWER,0.5,75,3.79,1,1,5,251
no_conflict,F3,Factual,ANSWER,0.5,84,6.67,1,1,5,159
no_conflict,F4,Factual,REFUSE,0.5,67,6.19,0,0,10,841
no_conflict,F5,Factual,ANSWER,0.5,81,4.2,1,1,5,249
no_conflict,C1,Comparison,REFUSE,0.5,82,30.6,0,0,15,363
no_conflict,C2,Comparison,ANSWER,0.5,74,24.05,1,1,25,883
no_conflict,C3,Comparison,ANSWER,0.5,63,29.21,1,1,25,944
no_conflict,C4,Comparison,ANSWER,0.5,62,32.3,1,1,25,1205
no_conflict,R1,Reasoning,REFUSE,0.5,77,6.02,0,0,10,742
no_conflict,R2,Reasoning,ANSWER,0.5,77,31.49,1,1,25,1066
no_conflict,R3,Reasoning,REFUSE,0.5,70,7.22,0,0,10,928
no_conflict,N1,Should-Refuse,REFUSE,1.0,59,4.73,0,1,5,629
no_conflict,N2,Should-Refuse,REFUSE,1.0,78,5.8,0,1,5,743
no_conflict,N3,Should-Refuse,REFUSE,1.0,77,5.87,0,1,5,838
